time_s,gpu,temperature_c,voltage_v
2.609,1,52.38901093055662,0.88
2.61,1,52.40154503855681,0.88
2.611,1,52.414072808408235,0.88
2.612,1,52.426594243315904,0.88
2.613,1,52.43910934648322,0.88
2.614,1,52.451618121111984,0.88
2.615,1,52.45468026253475,0.6
2.616,1,52.44332547312628,0.6
2.617,1,52.43197642551807,0.6
2.618,1,52.42925118029805,0.88
2.619,1,52.441764939926465,0.88
2.62,1,52.45427237169571,0.88
2.621,1,52.46677347880559,0.88
2.622,1,52.47926826445434,0.88
2.623,1,52.491756731838535,0.88
2.624,1,52.50423888415314,0.88
2.625,1,52.51671472459151,0.88
2.626,1,52.52918425634538,0.88
2.6270000000000002,1,52.5416474826049,0.88
2.628,1,52.55410440655855,0.88
2.629,1,52.56655503139325,0.88
2.63,1,52.57899936029428,0.88
2.6310000000000002,1,52.591437396445336,0.88
2.632,1,52.60386914302846,0.88
2.633,1,52.616294603224134,0.88
2.634,1,52.628713780211186,0.88
2.6350000000000002,1,52.64112667716688,0.88
2.636,1,52.65353329726685,0.88
2.637,1,52.66593364368511,0.88
2.638,1,52.6783277195941,0.88
2.6390000000000002,1,52.690715528164645,0.88
2.64,1,52.70309707256595,0.88
2.641,1,52.71547235596564,0.88
2.642,1,52.72784138152973,0.88
2.6430000000000002,1,52.74020415242262,0.88
2.644,1,52.75256067180714,0.88
2.645,1,52.764910942844494,0.88
2.646,1,52.777254968694294,0.88
2.6470000000000002,1,52.789592752514565,0.88
2.648,1,52.801924297461724,0.88
2.649,1,52.814249606690595,0.88
2.65,1,52.82656868335441,0.88
2.6510000000000002,1,52.838881530604795,0.88
2.652,1,52.8511881515918,0.88
2.653,1,52.86348854946387,0.88
2.654,1,52.87578272736785,0.88
2.6550000000000002,1,52.88807068844902,0.88
2.656,1,52.90035243585103,0.88
2.657,1,52.91262797271601,0.88
2.658,1,52.924897302184405,0.88
2.6590000000000003,1,52.937160427395156,0.88
2.66,1,52.949417351485565,0.88
2.661,1,52.96166807759137,0.88
2.662,1,52.97391260884672,0.88
2.6630000000000003,1,52.986150948384186,0.88
2.664,1,52.99838309933473,0.88
2.665,1,53.01060906482776,0.88
2.666,1,53.02282884799109,0.88
2.6670000000000003,1,53.03504245195096,0.88
2.668,1,53.04724987983199,0.88
2.669,1,53.05945113475727,0.88
2.67,1,53.071646219848304,0.88
2.6710000000000003,1,53.083835138224984,0.88
2.672,1,53.09601789300565,0.88
2.673,1,53.108194487307074,0.88
2.674,1,53.12036492424443,0.88
2.6750000000000003,1,53.132529206931316,0.88
2.676,1,53.14468733847978,0.88
2.677,1,53.156839322000266,0.88
2.678,1,53.16898516060167,0.88
2.6790000000000003,1,53.18112485739131,0.88
2.68,1,53.19325841547492,0.88
2.681,1,53.20538583795668,0.88
2.682,1,53.217507127939186,0.88
2.6830000000000003,1,53.22962228852347,0.88
2.684,1,53.24173132280902,0.88
2.685,1,53.25383423389369,0.88
2.686,1,53.26593102487385,0.88
2.6870000000000003,1,53.278021698844256,0.88
2.688,1,53.290106258898106,0.88
2.689,1,53.302184708127044,0.88
2.69,1,53.31425704962113,0.88
2.691,1,53.32632328646888,0.88
2.692,1,53.33838342175726,0.88
2.693,1,53.35043745857163,0.88
2.694,1,53.36248539999585,0.88
2.695,1,53.37452724911216,0.88
2.696,1,53.38656300900129,0.88
2.697,1,53.39859268274239,0.88
2.698,1,53.41061627341304,0.88
2.699,1,53.422633784089285,0.88
2.7,1,53.43464521784562,0.88
2.701,1,53.446650577754966,0.88
2.702,1,53.45864986688869,0.88
2.703,1,53.470643088316635,0.88
2.704,1,53.48263024510705,0.88
2.705,1,53.494611340326664,0.88
